"","prey","predator"
"186","g__Prochlorothrix_PCC-9006","g__Kiefferulus"
"187","g__norank_f__Synechococcaceae","g__Kiefferulus"
"188","g__Pedinomonas","g__Kiefferulus"
"189","g__Chlorella","g__Kiefferulus"
"190","g__Micractinium","g__Kiefferulus"
"191","g__Nitzschia","g__Kiefferulus"
"192","g__Melosira","g__Kiefferulus"
"193","g__Rhizosolenia","g__Kiefferulus"
"194","g__Cyclostephanos","g__Kiefferulus"
"195","g__Cyclotella","g__Kiefferulus"
"196","g__Stephanodiscus","g__Kiefferulus"
"197","g__Skeletonema","g__Kiefferulus"
"198","g__Ulnaria","g__Kiefferulus"
"199","g__Neoporphyra","g__Kiefferulus"
"200","g__Hymenena","g__Kiefferulus"
"201","g__Pseudophycodrys","g__Kiefferulus"
"202","g__Symphyocladiella","g__Kiefferulus"
"203","g__Pedospumella","g__Kiefferulus"
"204","g__Dinobryon","g__Kiefferulus"
"205","g__Apoikiospumella","g__Kiefferulus"
"206","g__Segregatospumella","g__Kiefferulus"
"207","g__Pseudopedinella","g__Kiefferulus"
"208","g__Nannochloropsis","g__Kiefferulus"
"209","g__Aureococcus","g__Kiefferulus"
"210","g__Dictyota","g__Kiefferulus"
"211","g__Acrothrix","g__Kiefferulus"
"212","g__Mesogloia","g__Kiefferulus"
"213","g__Hormosira","g__Kiefferulus"
"214","g__Chattonella","g__Kiefferulus"
"215","g__Haramonas","g__Kiefferulus"
"216","g__Synura","g__Kiefferulus"
"217","g__norank_o__Chloroplast","g__Limnophyes"
"218","g__Sphaerospermopsis_BCCUSP55","g__Limnophyes"
"219","g__Planktothricoides_SR001","g__Limnophyes"
"220","g__Planktothrix_NIVA-CYA_15","g__Limnophyes"
"221","g__Cyanobium_PCC-6307","g__Limnophyes"
"222","g__Prochlorothrix_PCC-9006","g__Limnophyes"
"223","g__norank_f__Synechococcaceae","g__Limnophyes"
"224","g__Pedinomonas","g__Limnophyes"
"225","g__Chlorella","g__Limnophyes"
"226","g__Micractinium","g__Limnophyes"
"227","g__Nitzschia","g__Limnophyes"
"228","g__Melosira","g__Limnophyes"
"229","g__Rhizosolenia","g__Limnophyes"
"230","g__Cyclostephanos","g__Limnophyes"
"231","g__Cyclotella","g__Limnophyes"
"232","g__Stephanodiscus","g__Limnophyes"
"233","g__Skeletonema","g__Limnophyes"
"234","g__Ulnaria","g__Limnophyes"
"235","g__Neoporphyra","g__Limnophyes"
"236","g__Hymenena","g__Limnophyes"
"237","g__Pseudophycodrys","g__Limnophyes"
"238","g__Symphyocladiella","g__Limnophyes"
"239","g__Pedospumella","g__Limnophyes"
"240","g__Dinobryon","g__Limnophyes"
"241","g__Apoikiospumella","g__Limnophyes"
"242","g__Segregatospumella","g__Limnophyes"
"243","g__Pseudopedinella","g__Limnophyes"
"244","g__Nannochloropsis","g__Limnophyes"
"245","g__Aureococcus","g__Limnophyes"
"246","g__Dictyota","g__Limnophyes"
"247","g__Acrothrix","g__Limnophyes"
"248","g__Mesogloia","g__Limnophyes"
"249","g__Hormosira","g__Limnophyes"
"250","g__Chattonella","g__Limnophyes"
"251","g__Haramonas","g__Limnophyes"
"252","g__Synura","g__Limnophyes"
"253","g__norank_o__Chloroplast","g__Micropsectra"
"254","g__Sphaerospermopsis_BCCUSP55","g__Micropsectra"
"255","g__Planktothricoides_SR001","g__Micropsectra"
"256","g__Planktothrix_NIVA-CYA_15","g__Micropsectra"
"257","g__Cyanobium_PCC-6307","g__Micropsectra"
"258","g__Prochlorothrix_PCC-9006","g__Micropsectra"
"259","g__norank_f__Synechococcaceae","g__Micropsectra"
"260","g__Pedinomonas","g__Micropsectra"
"261","g__Chlorella","g__Micropsectra"
"262","g__Micractinium","g__Micropsectra"
"263","g__Nitzschia","g__Micropsectra"
"264","g__Melosira","g__Micropsectra"
"265","g__Rhizosolenia","g__Micropsectra"
"266","g__Cyclostephanos","g__Micropsectra"
"267","g__Cyclotella","g__Micropsectra"
"268","g__Stephanodiscus","g__Micropsectra"
"269","g__Skeletonema","g__Micropsectra"
"270","g__Ulnaria","g__Micropsectra"
"271","g__Neoporphyra","g__Micropsectra"
"272","g__Hymenena","g__Micropsectra"
"273","g__Pseudophycodrys","g__Micropsectra"
"274","g__Symphyocladiella","g__Micropsectra"
"275","g__Pedospumella","g__Micropsectra"
"276","g__Dinobryon","g__Micropsectra"
"277","g__Apoikiospumella","g__Micropsectra"
"278","g__Segregatospumella","g__Micropsectra"
"279","g__Pseudopedinella","g__Micropsectra"
"280","g__Nannochloropsis","g__Micropsectra"
"281","g__Aureococcus","g__Micropsectra"
"282","g__Dictyota","g__Micropsectra"
"283","g__Acrothrix","g__Micropsectra"
"284","g__Mesogloia","g__Micropsectra"
"285","g__Hormosira","g__Micropsectra"
"286","g__Chattonella","g__Micropsectra"
"287","g__Haramonas","g__Micropsectra"
"288","g__Synura","g__Micropsectra"
"289","g__norank_o__Chloroplast","g__Paracladopelma"
"290","g__Sphaerospermopsis_BCCUSP55","g__Paracladopelma"
"291","g__Planktothricoides_SR001","g__Paracladopelma"
"292","g__Planktothrix_NIVA-CYA_15","g__Paracladopelma"
"293","g__Cyanobium_PCC-6307","g__Paracladopelma"
"294","g__Prochlorothrix_PCC-9006","g__Paracladopelma"
"295","g__norank_f__Synechococcaceae","g__Paracladopelma"
"296","g__Pedinomonas","g__Paracladopelma"
"297","g__Chlorella","g__Paracladopelma"
"298","g__Micractinium","g__Paracladopelma"
"299","g__Nitzschia","g__Paracladopelma"
"300","g__Melosira","g__Paracladopelma"
"301","g__Rhizosolenia","g__Paracladopelma"
"302","g__Cyclostephanos","g__Paracladopelma"
"303","g__Cyclotella","g__Paracladopelma"
"304","g__Stephanodiscus","g__Paracladopelma"
"305","g__Skeletonema","g__Paracladopelma"
"306","g__Ulnaria","g__Paracladopelma"
"307","g__Neoporphyra","g__Paracladopelma"
"308","g__Hymenena","g__Paracladopelma"
"309","g__Pseudophycodrys","g__Paracladopelma"
"310","g__Symphyocladiella","g__Paracladopelma"
"311","g__Pedospumella","g__Paracladopelma"
"312","g__Dinobryon","g__Paracladopelma"
"313","g__Apoikiospumella","g__Paracladopelma"
"314","g__Segregatospumella","g__Paracladopelma"
"315","g__Pseudopedinella","g__Paracladopelma"
"316","g__Nannochloropsis","g__Paracladopelma"
"317","g__Aureococcus","g__Paracladopelma"
"318","g__Dictyota","g__Paracladopelma"
"319","g__Acrothrix","g__Paracladopelma"
"320","g__Mesogloia","g__Paracladopelma"
"321","g__Hormosira","g__Paracladopelma"
"322","g__Chattonella","g__Paracladopelma"
"323","g__Haramonas","g__Paracladopelma"
"324","g__Synura","g__Paracladopelma"
"325","g__norank_o__Chloroplast","g__Polypedilum"
"326","g__Sphaerospermopsis_BCCUSP55","g__Polypedilum"
"327","g__Planktothricoides_SR001","g__Polypedilum"
"328","g__Planktothrix_NIVA-CYA_15","g__Polypedilum"
"329","g__Cyanobium_PCC-6307","g__Polypedilum"
"330","g__Prochlorothrix_PCC-9006","g__Polypedilum"
"331","g__norank_f__Synechococcaceae","g__Polypedilum"
"332","g__Pedinomonas","g__Polypedilum"
"333","g__Chlorella","g__Polypedilum"
"334","g__Micractinium","g__Polypedilum"
"335","g__Nitzschia","g__Polypedilum"
"336","g__Melosira","g__Polypedilum"
"337","g__Rhizosolenia","g__Polypedilum"
"338","g__Cyclostephanos","g__Polypedilum"
"339","g__Cyclotella","g__Polypedilum"
"340","g__Stephanodiscus","g__Polypedilum"
"341","g__Skeletonema","g__Polypedilum"
"342","g__Ulnaria","g__Polypedilum"
"343","g__Neoporphyra","g__Polypedilum"
"344","g__Hymenena","g__Polypedilum"
"345","g__Pseudophycodrys","g__Polypedilum"
"346","g__Symphyocladiella","g__Polypedilum"
"347","g__Pedospumella","g__Polypedilum"
"348","g__Dinobryon","g__Polypedilum"
"349","g__Apoikiospumella","g__Polypedilum"
"350","g__Segregatospumella","g__Polypedilum"
"351","g__Pseudopedinella","g__Polypedilum"
"352","g__Nannochloropsis","g__Polypedilum"
"353","g__Aureococcus","g__Polypedilum"
"354","g__Dictyota","g__Polypedilum"
"355","g__Acrothrix","g__Polypedilum"
"356","g__Mesogloia","g__Polypedilum"
"357","g__Hormosira","g__Polypedilum"
"358","g__Chattonella","g__Polypedilum"
"359","g__Haramonas","g__Polypedilum"
"360","g__Synura","g__Polypedilum"
"361","g__norank_o__Chloroplast","g__Tanytarsus"
"362","g__Sphaerospermopsis_BCCUSP55","g__Tanytarsus"
"363","g__Planktothricoides_SR001","g__Tanytarsus"
"364","g__Planktothrix_NIVA-CYA_15","g__Tanytarsus"
"365","g__Cyanobium_PCC-6307","g__Tanytarsus"
"366","g__Prochlorothrix_PCC-9006","g__Tanytarsus"
"367","g__norank_f__Synechococcaceae","g__Tanytarsus"
"368","g__Pedinomonas","g__Tanytarsus"
"369","g__Chlorella","g__Tanytarsus"
"370","g__Micractinium","g__Tanytarsus"
"371","g__Nitzschia","g__Tanytarsus"
"372","g__Melosira","g__Tanytarsus"
"373","g__Rhizosolenia","g__Tanytarsus"
"374","g__Cyclostephanos","g__Tanytarsus"
"375","g__Cyclotella","g__Tanytarsus"
"376","g__Stephanodiscus","g__Tanytarsus"
"377","g__Skeletonema","g__Tanytarsus"
"378","g__Ulnaria","g__Tanytarsus"
"379","g__Neoporphyra","g__Tanytarsus"
"380","g__Hymenena","g__Tanytarsus"
"381","g__Pseudophycodrys","g__Tanytarsus"
"382","g__Symphyocladiella","g__Tanytarsus"
"383","g__Pedospumella","g__Tanytarsus"
"384","g__Dinobryon","g__Tanytarsus"
"385","g__Apoikiospumella","g__Tanytarsus"
"386","g__Segregatospumella","g__Tanytarsus"
"387","g__Pseudopedinella","g__Tanytarsus"
"388","g__Nannochloropsis","g__Tanytarsus"
"389","g__Aureococcus","g__Tanytarsus"
"390","g__Dictyota","g__Tanytarsus"
"391","g__Acrothrix","g__Tanytarsus"
"392","g__Mesogloia","g__Tanytarsus"
"393","g__Hormosira","g__Tanytarsus"
"394","g__Chattonella","g__Tanytarsus"
"395","g__Haramonas","g__Tanytarsus"
"396","g__Synura","g__Tanytarsus"
"397","g__Cunea","g__Anopheles"
"398","g__Korotnevella","g__Anopheles"
"399","g__Vexillifera","g__Anopheles"
"400","g__Cochliopodium","g__Anopheles"
"401","g__Planopodium","g__Anopheles"
"402","g__Acanthamoeba","g__Anopheles"
"403","g__Phytophthora","g__Anopheles"
"404","g__Globisporangium","g__Anopheles"
"405","g__Pythium","g__Anopheles"
"406","g__Achlya","g__Anopheles"
"407","g__Haptoglossa","g__Anopheles"
"408","g__Monosiga","g__Anopheles"
"409","g__Thecamonas","g__Anopheles"
"410","g__norank_o__Chloroplast","g__Anopheles"
"411","g__Sphaerospermopsis_BCCUSP55","g__Anopheles"
"412","g__Planktothricoides_SR001","g__Anopheles"
"413","g__Planktothrix_NIVA-CYA_15","g__Anopheles"
"414","g__Cyanobium_PCC-6307","g__Anopheles"
"415","g__Prochlorothrix_PCC-9006","g__Anopheles"
"416","g__norank_f__Synechococcaceae","g__Anopheles"
"417","g__Pedinomonas","g__Anopheles"
"418","g__Chlorella","g__Anopheles"
"419","g__Micractinium","g__Anopheles"
"420","g__Nitzschia","g__Anopheles"
"421","g__Melosira","g__Anopheles"
"422","g__Rhizosolenia","g__Anopheles"
"423","g__Cyclostephanos","g__Anopheles"
"424","g__Cyclotella","g__Anopheles"
"425","g__Stephanodiscus","g__Anopheles"
"426","g__Skeletonema","g__Anopheles"
"427","g__Ulnaria","g__Anopheles"
"428","g__Neoporphyra","g__Anopheles"
"429","g__Hymenena","g__Anopheles"
"430","g__Pseudophycodrys","g__Anopheles"
"431","g__Symphyocladiella","g__Anopheles"
"432","g__Pedospumella","g__Anopheles"
"433","g__Dinobryon","g__Anopheles"
"434","g__Apoikiospumella","g__Anopheles"
"435","g__Segregatospumella","g__Anopheles"
"436","g__Pseudopedinella","g__Anopheles"
"437","g__Nannochloropsis","g__Anopheles"
"438","g__Aureococcus","g__Anopheles"
"439","g__Dictyota","g__Anopheles"
"440","g__Acrothrix","g__Anopheles"
"441","g__Mesogloia","g__Anopheles"
"442","g__Hormosira","g__Anopheles"
"443","g__Chattonella","g__Anopheles"
"444","g__Haramonas","g__Anopheles"
"445","g__Synura","g__Anopheles"
"446","g__Cunea","g__Culex"
"447","g__Korotnevella","g__Culex"
"448","g__Vexillifera","g__Culex"
"449","g__Cochliopodium","g__Culex"
"450","g__Planopodium","g__Culex"
"451","g__Acanthamoeba","g__Culex"
"452","g__Phytophthora","g__Culex"
"453","g__Globisporangium","g__Culex"
"454","g__Pythium","g__Culex"
"455","g__Achlya","g__Culex"
"456","g__Haptoglossa","g__Culex"
"457","g__Monosiga","g__Culex"
"458","g__Thecamonas","g__Culex"
"459","g__norank_o__Chloroplast","g__Culex"
"460","g__Sphaerospermopsis_BCCUSP55","g__Culex"
"461","g__Planktothricoides_SR001","g__Culex"
"462","g__Planktothrix_NIVA-CYA_15","g__Culex"
"463","g__Cyanobium_PCC-6307","g__Culex"
"464","g__Prochlorothrix_PCC-9006","g__Culex"
"465","g__norank_f__Synechococcaceae","g__Culex"
"466","g__Pedinomonas","g__Culex"
"467","g__Chlorella","g__Culex"
"468","g__Micractinium","g__Culex"
"469","g__Nitzschia","g__Culex"
"470","g__Melosira","g__Culex"
"471","g__Rhizosolenia","g__Culex"
"472","g__Cyclostephanos","g__Culex"
"473","g__Cyclotella","g__Culex"
"474","g__Stephanodiscus","g__Culex"
"475","g__Skeletonema","g__Culex"
"476","g__Ulnaria","g__Culex"
"477","g__Neoporphyra","g__Culex"
"478","g__Hymenena","g__Culex"
"479","g__Pseudophycodrys","g__Culex"
"480","g__Symphyocladiella","g__Culex"
"481","g__Pedospumella","g__Culex"
"482","g__Dinobryon","g__Culex"
"483","g__Apoikiospumella","g__Culex"
"484","g__Segregatospumella","g__Culex"
"485","g__Pseudopedinella","g__Culex"
"486","g__Nannochloropsis","g__Culex"
"487","g__Aureococcus","g__Culex"
"488","g__Dictyota","g__Culex"
"489","g__Acrothrix","g__Culex"
"490","g__Mesogloia","g__Culex"
"491","g__Hormosira","g__Culex"
"492","g__Chattonella","g__Culex"
"493","g__Haramonas","g__Culex"
"494","g__Synura","g__Culex"
"495","g__Cunea","g__Malaya"
"496","g__Korotnevella","g__Malaya"
"497","g__Vexillifera","g__Malaya"
"498","g__Cochliopodium","g__Malaya"
"499","g__Planopodium","g__Malaya"
"500","g__Acanthamoeba","g__Malaya"
"501","g__Phytophthora","g__Malaya"
"502","g__Globisporangium","g__Malaya"
"503","g__Pythium","g__Malaya"
"504","g__Achlya","g__Malaya"
"505","g__Haptoglossa","g__Malaya"
"506","g__Monosiga","g__Malaya"
"507","g__Thecamonas","g__Malaya"
"508","g__norank_o__Chloroplast","g__Malaya"
"509","g__Sphaerospermopsis_BCCUSP55","g__Malaya"
"510","g__Planktothricoides_SR001","g__Malaya"
"511","g__Planktothrix_NIVA-CYA_15","g__Malaya"
"512","g__Cyanobium_PCC-6307","g__Malaya"
"513","g__Prochlorothrix_PCC-9006","g__Malaya"
"514","g__norank_f__Synechococcaceae","g__Malaya"
"515","g__Pedinomonas","g__Malaya"
"516","g__Chlorella","g__Malaya"
"517","g__Micractinium","g__Malaya"
"518","g__Nitzschia","g__Malaya"
"519","g__Melosira","g__Malaya"
"520","g__Rhizosolenia","g__Malaya"
"521","g__Cyclostephanos","g__Malaya"
"522","g__Cyclotella","g__Malaya"
"523","g__Stephanodiscus","g__Malaya"
"524","g__Skeletonema","g__Malaya"
"525","g__Ulnaria","g__Malaya"
"526","g__Neoporphyra","g__Malaya"
"527","g__Hymenena","g__Malaya"
"528","g__Pseudophycodrys","g__Malaya"
"529","g__Symphyocladiella","g__Malaya"
"530","g__Pedospumella","g__Malaya"
"531","g__Dinobryon","g__Malaya"
"532","g__Apoikiospumella","g__Malaya"
"533","g__Segregatospumella","g__Malaya"
"534","g__Pseudopedinella","g__Malaya"
"535","g__Nannochloropsis","g__Malaya"
"536","g__Aureococcus","g__Malaya"
"537","g__Dictyota","g__Malaya"
"538","g__Acrothrix","g__Malaya"
"539","g__Mesogloia","g__Malaya"
"540","g__Hormosira","g__Malaya"
"541","g__Chattonella","g__Malaya"
"542","g__Haramonas","g__Malaya"
"543","g__Synura","g__Malaya"
"544","g__Thalassodrilides","g__Thambemyia"
"545","g__Tubifex","g__Thambemyia"
"546","g__norank_o__Chloroplast","g__Antocha"
"547","g__Sphaerospermopsis_BCCUSP55","g__Antocha"
"548","g__Planktothricoides_SR001","g__Antocha"
"549","g__Planktothrix_NIVA-CYA_15","g__Antocha"
"550","g__Cyanobium_PCC-6307","g__Antocha"
"551","g__Prochlorothrix_PCC-9006","g__Antocha"
"552","g__norank_f__Synechococcaceae","g__Antocha"
"553","g__Pedinomonas","g__Antocha"
"554","g__Chlorella","g__Antocha"
"555","g__Micractinium","g__Antocha"
"556","g__Nitzschia","g__Antocha"
"557","g__Melosira","g__Antocha"
"558","g__Rhizosolenia","g__Antocha"
"559","g__Cyclostephanos","g__Antocha"
"560","g__Cyclotella","g__Antocha"
"561","g__Stephanodiscus","g__Antocha"
"562","g__Skeletonema","g__Antocha"
"563","g__Ulnaria","g__Antocha"
"564","g__Neoporphyra","g__Antocha"
"565","g__Hymenena","g__Antocha"
"566","g__Pseudophycodrys","g__Antocha"
"567","g__Symphyocladiella","g__Antocha"
"568","g__Pedospumella","g__Antocha"
"569","g__Dinobryon","g__Antocha"
"570","g__Apoikiospumella","g__Antocha"
"571","g__Segregatospumella","g__Antocha"
"572","g__Pseudopedinella","g__Antocha"
"573","g__Nannochloropsis","g__Antocha"
"574","g__Aureococcus","g__Antocha"
"575","g__Dictyota","g__Antocha"
"576","g__Acrothrix","g__Antocha"
"577","g__Mesogloia","g__Antocha"
"578","g__Hormosira","g__Antocha"
"579","g__Chattonella","g__Antocha"
"580","g__Haramonas","g__Antocha"
"581","g__Synura","g__Antocha"
"582","g__norank_o__Chloroplast","g__Dicranomyia"
"583","g__Sphaerospermopsis_BCCUSP55","g__Dicranomyia"
"584","g__Planktothricoides_SR001","g__Dicranomyia"
"585","g__Planktothrix_NIVA-CYA_15","g__Dicranomyia"
"586","g__Cyanobium_PCC-6307","g__Dicranomyia"
"587","g__Prochlorothrix_PCC-9006","g__Dicranomyia"
"588","g__norank_f__Synechococcaceae","g__Dicranomyia"
"589","g__Pedinomonas","g__Dicranomyia"
"590","g__Chlorella","g__Dicranomyia"
"591","g__Micractinium","g__Dicranomyia"
"592","g__Nitzschia","g__Dicranomyia"
"593","g__Melosira","g__Dicranomyia"
"594","g__Rhizosolenia","g__Dicranomyia"
